skill_id,type,created_by,date,sources,reviewed_by,notes
A1.2a,skill_spec,Claude (domain author),2026-08-31,"Wartha & Schulz 2019; Padberg & Benz 2021",open,"A1.2a (Rückwärtszählen bis 20): L1 Zahlenstrahl von Start 18-20 abwärts zum Ziel 12, L2/L3 symbolisch rückwärts zählen (sequence_gap down, Länge 5 dann 8, Start 14-18); alle Folgen bleiben ≥ 7, nie negativ. Fehlerregeln skip und incomplete stützen das sichere Abwärtszählen."
A1.2b,skill_spec,Claude (domain author),2026-08-31,"Wartha & Schulz 2019; Padberg & Benz 2021",open,"A1.2b (Rückwärtszählen bis 100): L1 von 91-95 abwärts zur 85 (kreuzt die 90), L2 Lücke an der 50 (Start 52-54, gap index 3), L3 Länge 8, Start 51-52, Lücken an den Indizes 2 und 6 (49/50 und 45/46) - bewusst kein Zwang zu 100, die Lücke liegt stattdessen sicher an einer Zehnergrenze im ZR100 (min. Folgewert 44). overstep_error adressiert den Übergang."
A1.3,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023",open,"A1.3 (Zählen in Schritten): Schritte über die Stufen verteilt - L1 Zweierschritte vorwärts auf dem Zahlenstrahl (Ziel 20, start_range [2,10] enthält die zum Schritt kongruenten Startpunkte 2,4,6,8,10), L2 Fünferschritte rückwärts, L3 Zehnerschritte vorwärts über die Zehnergrenze (ZR100). Konstruktspezifische Regeln: step_error (Schrittmaß) und wrong_direction."
A1.4,skill_spec,Claude (domain author),2026-08-31,"Wartha & Schulz 2019; Padberg & Benz 2021",open,"A1.4 (Vorgänger und Nachfolger bestimmen): alle drei Stufen symbolisch (sequence_gap), da die Ordnung der Zahlenfolge das Konstrukt selbst ist; L1 Lücke in der Mitte, L2 am Anfang, L3 vorn und hinten. Abweichend von der Mapping-Skizze (Länge 3) durchgängig Länge 5 wegen des Längen-Gates 4-8. start_range [11,92] erzeugt auch Fälle an Zehnergrenzen. Regeln: neighbor_error, boundary_error."
A1.5,skill_spec,Claude (domain author),2026-08-31,"Gaidoschik 2010; Wartha & Schulz 2019",open,"A1.5 (Zählen über den Zehnerübergang): L1 Zahlenstrahl 28-32 mit Ziel 30 (Übergang 29 nach 30), L2 Lücke bei 29 nach 30 (Start 28-29, gap index 1), L3 Lücke bei 49 nach 50 statt 99 nach 100, weil eine Lücke auf 100 bei Länge 5 den ZR100 überschreiten würde. tens_boundary ist die zentrale konstruktspezifische Fehlerregel."
C3.4a,skill_spec,Claude (domain author),2026-08-31,"Wartha & Schulz 2019; Padberg & Benz 2021",open,"C3.4a (Im Hunderterraum zerlegen und addieren): Zerlegung des zweiten Summanden in Zehner und Einer - L1 enaktiv drag_partition split_constraint tens_ones (drei Kästen: 1. Summand, Zehner, Einer; 35+27=35+20+7, der Zehner-Kasten muss ein Vielfaches von 10 enthalten; Summen 30-99), L2 symbolisch equation_gap helper op '+' ZR100 (35+27=35+20+_, a 20-49, b 12-39, Summe bis 88), L3 symbolisch equation_solve ZR100 (a 20-59, b 12-39, Summe bis 98). Beide Summanden zweistellig, Ergebnisse nie negativ, Aufgaben kreuzen gezielt Zehnergrenzen. Konstruktspezifische Fehlerregel: zerlegung_error."
C3.4b,skill_spec,Claude (domain author),2026-08-31,"Wartha & Schulz 2019; Padberg & Benz 2021",open,"C3.4b (Im Hunderterraum zerlegen und subtrahieren): Zerlegung des Subtrahenden in Zehner und Einer umgeht den Borge-Schritt - L1 enaktiv drag_partition split_constraint tens_ones (Kästen Rest, Zehner, Einer; 62-27=62-20-7, der Zehner-Kasten muss ein Vielfaches von 10 enthalten), L2 symbolisch equation_gap helper op '-' ZR100 (62-27=62-20-_, Minuend 40-90, Subtrahend 12-39), L3 symbolisch equation_solve ZR100 (Minuend 40-98, Subtrahend 12-39, Ergebnis stets ≥ 1). Konstruktspezifische Fehlerregel: subtrahend_split_error."
C4.1,skill_spec,Claude (domain author),2026-08-31,"Selter & Spiegel 1997; Gaidoschik 2010",open,"C4.1 (Rechenstrategien bewusst auswählen): strategy_choice auf allen drei Stufen - L1 ZR20 Verdoppeln (a==b, Zahlen 2-10), L2 ZR100 über die Zehn (zweistellig, Zehnerübergang bei den Einern), L3 ZR100 gemischt (alle drei Strategien angeboten; Ranges 12-48 erlauben a==b, |a-b|==1 und Zehnerübergang, Zielstrategie variiert pro Aufgabe). correct_strategy ist stets Element der strategies-Liste, und die Zahlen exemplifizieren sie. Konstruktspezifische Fehlerregel: strategy_miss."
C4.2,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; KMK 2022",open,"C4.2 (Umkehraufgaben zur Kontrolle nutzen): Zahlenfamilie 3+4=7 ⇒ 7-4=3 - L1 enaktiv drag_partition (Ganzes 5-10 in zwei Teile, Familie sichtbar), L2 symbolisch equation_gap form gap op '-' ZR20 (7-4=_, Minuend 11-18, Subtrahend 2-9, Ergebnis stets ≥ 2 - die Ranges garantieren a > b ohne Filter), L3 symbolisch equation_solve unknown addend ZR100 (zweistellig, via Umkehraufgabe, Ergebnis nie negativ). Konstruktspezifische Fehlerregel: inverse_error."
C2.1,skill_spec,Claude (domain author),2026-08-31,"Gaidoschik 2010; Wartha & Schulz 2019",open,"C2.1 (Addieren mit Zehnerübergang über Zerlegen): L1 enaktiv Zerlegen bis zur vollen Zehn (drag_partition split_constraint make_ten, Summe 11-19, 2 Boxen 'volle Zehn'/'Rest', eine Box muss exakt 10 enthalten, z.B. 15=10+5), L2 symbolisch Stützaufgabe (equation_gap helper, a 8-9, b 3-9, Summe 11-18, Lücke = a+b-10, z.B. 8+7=10+5; b ab 3 garantiert den Zehnerübergang), L3 symbolisch Plusaufgabe mit Übergang (equation_solve result, Summe 11-18). L2/L3 symbolisch, da die Stützaufgabe die symbolische Form des Konstrukts ist. Konstruktspezifische Fehlerregel: no_make_ten (nicht zur vollen Zehn zerlegt)."
C2.2,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Gaidoschik 2010",open,"C2.2 (Verdopplungen als Stützaufgaben nutzen): L1 enaktiv Verdopplungen legen (drag_partition equal, gerade Summen 12-18, Doppelte 6+6 bis 9+9), L2 ikonisch fast gleiche Gruppen lesen (zehnerfeld_read two_groups, Anzahl 5-10, Zerlegung floor/ceil -> Dopplung oder Nachbaraufgabe), L3 symbolisch equation_gap helper_double (a+(a+1)=2a+_, Lücke 1, a 5-9, z.B. 6+7=12+1). Konstruktspezifische Fehlerregel: anchor_miss (Verdopplung nicht als Stützpunkt genutzt)."
C2.3,skill_spec,Claude (domain author),2026-08-31,"Selter & Spiegel 1997; Gaidoschik 2010",open,"C2.3 (Subtrahieren durch Ergänzen): L1 enaktiv im Zehnerfeld ergänzen (place_counters zehnerfeld fill, Ergänzungsmenge 1-9, von der Startzahl bis zur Zielzahl), L2 symbolisch Ergänzungsaufgabe (equation_gap missing_addend, a 6-9, Lücke 5-9, Summe 11-18 - die Ranges garantieren den Zehnerübergang ohne Filter, z.B. 7+_=12), L3 symbolisch fehlenden Summanden finden (equation_solve unknown addend, Ergebnis bis 20). L2/L3 symbolisch, da die Ergänzungsaufgabe die symbolische Form des Konstrukts ist. Konstruktspezifische Fehlerregeln: overstep_error (Zehnerübergang) und counts_back (rückwärts gezählt)."
C1.1a,skill_spec,Claude (domain author),2026-08-31,"Gaidoschik 2010; Padberg & Benz 2021",open,"C1.1a (Additionsaufgaben bis 10 sicher lösen): E-I-S über Legen (place_counters, zehnerfeld fill, Summe 2-10), Ablesen zweier Gruppen (zehnerfeld_read two_groups) und Kopfrechnen (equation_solve, a,b in 1-9, zr 10 erzwingt a+b ≤ 10, nie über die Zehn). Konstruktspezifische Fehlerregel: addend_repeated (ein Summand als Ergebnis genannt)."
C1.1b,skill_spec,Claude (domain author),2026-08-31,"Gaidoschik 2010; Padberg & Benz 2021",open,"C1.1b (Subtraktionsaufgaben bis 10 sicher lösen): Legen mit Wegnehmen (place_counters, zehnerfeld take_away), Ablesen mit weggenommenem Teil (zehnerfeld_read two_groups) und Kopfrechnen (equation_solve minus, Minuend 11-20, Subtrahend 1-10, Ergebnis stets ≥ 1 - die Ranges garantieren a ≥ b ohne Filter). count_back_error adressiert das rückwärts Zählen statt der Umkehraufgabe."
C1.2,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Gaidoschik 2010",open,"C1.2 (Verdopplungsaufgaben): gleiche Kästen (drag_partition equal, Gesamtzahl 2n ≤ 20), zwei gleiche Gruppen zusammen bis 20 sehen (zehnerfeld_read two_groups) und Verdoppeln rechnen (equation_solve, a=b in 2-10, Ergebnis ≤ 20). double_error ist die zentrale Konstruktregel."
C1.3,skill_spec,Claude (domain author),2026-08-31,"Gaidoschik 2010; KMK 2022",open,"C1.3 (Halbierungsaufgaben): gerechtes Teilen (drag_partition equal, gerade Gesamtzahl 2n ≤ 20), die Hälfte in zwei gleich großen Gruppen ablesen (zehnerfeld_read two_groups, Kind tippt eine Gruppe) und die Hälfte finden (equation_gap form half, a_range [2,10], Gesamtzahl 2a ≤ 20 gerade). half_error adressiert die fehlende Umkehrung zum Verdoppeln."
C3.1a,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023",open,"C3.1a (Im Hunderterraum stellenweise addieren): E-I-S über Legen in der Stellenwerttafel (place_counters fill, count_range 22-88), Ablesen zweier Reihen (stellenwerttafel_read sum_rows) und Stellenweises Addieren (equation_solve place_value rows two_rows, column_constraint no_carry, tens/ones je 1-4, beide Summanden aus denselben Ranges, Spaltensummen max. 8 <= 9, kein Übertrag). Konstruktspezifische Fehlerregel: column_swap (Zehner und Einer vertauscht, ersetzt den generischen place_error)."
C3.1b,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023",open,"C3.1b (Im Hunderterraum stellenweise subtrahieren): E-I-S über Ergebnis-Darstellen in der Stellenwerttafel (place_counters fill, count_range 11-88), Ablesen mit abzuziehender Reihe (stellenwerttafel_read sum_rows mit op='-', op ist seit der P3-Fixrunde Teil der §4.5-Vokabeln) und Stellenweises Subtrahieren (equation_solve place_value rows two_rows, column_constraint no_borrow - der Generator zieht jede Subtrahendenspalte <= der Minuendenspalte, Zehner- und Einerspalte nie negativ, kein Borge-Schritt, Ergebnis zweistellig). Konstruktspezifische Fehlerregeln: place_error und borrow_error (unnötig einen Zehner geöffnet)."
C3.2,skill_spec,Claude (domain author),2026-08-31,"Selter & Spiegel 1997; Schipper 2009",open,"C3.2 (Im Hunderterraum in Schritten rechnen): L1 enaktiv Fünferschritte zum vollen Zehner und weiter (numberline_step, start 25-35, Schritt 5, Ziel 45), L2/L3 symbolisch schrittweises Subtrahieren über die Zehnerschranke (equation_gap helper minus, z.B. 45-7 = 45-5-2 = 40-_, Lücke = Subtrahend - Einer = 2; equation_solve minus mit b > Einer(a), Ergebnis nie negativ). Fehlerregeln: step_error, overstep_error."
C3.3,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Selter & Spiegel 1997",open,"C3.3 (Mit Hilfsaufgaben rechnen): L1 enaktiv Nachbaraufgaben legen (drag_partition split_constraint near_double, ungerade Gesamtzahl 11-19, 3 Kästen Verdopplung/Verdopplung/1 dazu, z.B. 7+8 = 7+7+1; falsche Aufteilungen wie 17=9+8 sind falsch), L2 symbolisch equation_gap helper_double ZR100 (a+(a+1) = 2a+1, Lücke 1, a mit Einer >= 5 erzwingt den Zehnerübergang beim Verdoppeln), L3 symbolisch equation_solve plus ZR100 mit Zehnerübergang. Fehlerregel: anchor_miss."
A2.1,skill_spec,Claude (domain author),2026-08-31,"Krajewski 2003/2008; Krajewski & Schneider 2009",open,"A2.1 (Mengen auf einen Blick erfassen): drei ikonische Stufen (custom flash_subitize Punkte, custom flash_subitize Rekenrek, zehnerfeld_read strukturiert, Zählbereich 1-5); Subitizing verlangt die Blitzpräsentation, daher flash_ms 800 auf den ersten beiden Stufen. Konstruktspezifische Fehlerregel: subitize_shift."
A2.2,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023",open,"A2.2 (Mengen über Strukturen erkennen): E-I-S über Rekenrek einstellen (enaktiv), Fünfermuster lesen (ikonisch, five_pattern) und Fingerbilder lesen (ikonisch, hands 2); das Fünfermuster ist die tragende Struktur. Konstruktspezifische Fehlerregel: five_pattern_error."
A2.3,skill_spec,Claude (domain author),2026-08-31,"Krajewski 2003/2008; KMK 2022",open,"A2.3 (Mengen vergleichen): mehr/weniger auf zwei ikonischen Stufen (picture_compare more/less, difference_min 1 garantiert links ≠ rechts, P2 Task 5 gate) und Größer-kleiner-gleich auf symbolischer Stufe (compare_symbols, ZR10); die Vergleichsrelation ist das Konstrukt. Konstruktspezifische Fehlerregel: comparison_error."
A3.1,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Lenz & Wittmann 2023",open,"A3.1 (Zahlen aus Teilen zusammensetzen): E-I-S über Zerlegen in zwei bzw. drei Teile (drag_partition, ZR10) und fehlender Summand (equation_gap missing_addend ZR10); alle Teile zusammen ergeben stets das Ganze. Konstruktspezifische Fehlerregel: parts_sum_error."
A3.2,skill_spec,Claude (domain author),2026-08-31,"Karner, Zahlzerlegungen im ZR10 (OA); Padberg & Benz 2021",open,"A3.2 (Zerlegungen einer Zahl finden): frei zerlegen (place_counters), verschiedene Zerlegungen (drag_partition equal=false) und alle Zerlegungen (equation_gap any_split, ZR10, alle Paarsummen akzeptiert und in expected gelistet); jede gültige Zerlegung ist richtig. Konstruktspezifische Fehlerregel: invalid_split."
A3.3,skill_spec,Claude (domain author),2026-08-31,"Gaidoschik 2010; Padberg & Benz 2021",open,"A3.3 (Zahlbeziehungen nutzen): Verdoppeln legen (drag_partition equal), Doppel-Folgen erkennen (sequence_gap progression double, step ignoriert, Länge 4 erfüllt das Längen-Gate 4-8: 2,4,8,16 bzw. 3,6,12,24) und das Doppelte rechnen (equation_solve equal=true, a==b, ZR20); Verdoppeln ist die zentrale Stützrelation. Konstruktspezifische Fehlerregel: double_error."
